Date,Open ,High ,Low ,Close ,Volume
27-Dec-16,116.55,117.8,116.49,117.26,166674
28-Dec-16,117.38,118.02,116.2,116.65,182568
29-Dec-16,116.71,117.11,116.4,116.82,134914
30-Dec-16,117,117.29,115.43,115.59,271997
3-Jan-17,116.02,116.4,114.76,116.07,266845
4-Jan-17,115.97,116.51,115.69,116,190895
5-Jan-17,115.85,116.87,115.77,116.7,205716
6-Jan-17,116.57,118.16,116,117.84,291787
9-Jan-17,118,119.43,117.51,118.91,311647
10-Jan-17,119.15,119.38,118.3,119.15,224480
11-Jan-17,119.11,119.93,118.6,119.75,256184
12-Jan-17,119.6,119.6,118.21,119.19,251892
13-Jan-17,119.18,119.62,118.81,119.02,228801
17-Jan-17,118.74,120.24,118.22,119.96,311195
18-Jan-17,120,120.5,119.71,119.98,211177
19-Jan-17,119.91,120.25,119.12,119.83,215633
20-Jan-17,119.79,120.45,119.5,120.04,278012
23-Jan-17,119.5,120.81,119.5,120.19,193253
24-Jan-17,119.5,120.1,118.91,119.98,213152
25-Jan-17,120.1,122.1,120.1,121.85,295955
26-Jan-17,122,122.44,121.6,121.92,219394
27-Jan-17,121.87,122.35,121.02,121.55,183930
30-Jan-17,121.03,121.9,120.66,121.85,282059
31-Jan-17,121.35,125.61,119.06,125.02,458691
1-Feb-17,124.5,130.49,124.5,128.81,1024125
2-Feb-17,128.5,129.39,127.78,128.05,299431
3-Feb-17,128.04,129.2,128.04,129.19,214409
6-Feb-17,129,130.5,128.67,130.27,242884
7-Feb-17,130.25,132.09,129.95,131.48,331881
8-Feb-17,131.65,132.22,131.2,132.1,192381
9-Feb-17,131.97,132.47,131.12,132.45,241670
10-Feb-17,132.48,132.94,131.85,132.05,179836
13-Feb-17,132.4,133.82,131.79,133.39,209620
14-Feb-17,133.07,135.49,133,135.44,283579
15-Feb-17,135.7,136.37,134.62,135.58,309935
16-Feb-17,135.65,136.02,134.83,135.3,200902
17-Feb-17,135.49,135.83,134.8,135.67,207246
21-Feb-17,136.02,136.75,135.4,136.68,203753
22-Feb-17,136.65,137.41,136.11,137.19,178552
23-Feb-17,137.16,137.5,136.3,136.45,185974
24-Feb-17,136.15,136.69,134.62,136.63,197658
27-Feb-17,136.5,137.44,136.28,136.72,182502
28-Feb-17,137.07,137.44,136.7,137.05,203186
1-Mar-17,137.25,140.15,137.25,139.99,318020
2-Mar-17,140,140.28,138.61,139,240579
3-Mar-17,138.88,139.83,138.55,139.68,186122
6-Mar-17,139.4,139.77,138.59,139.35,171065
7-Mar-17,139.05,139.98,138.79,139.36,154428
8-Mar-17,139.68,139.8,138.71,139.04,165484
9-Mar-17,139.24,139.31,137.05,138.85,199517
10-Mar-17,139.29,139.41,138.64,139.12,173525
13-Mar-17,138.92,139.43,138.62,139.25,148787
14-Mar-17,139,139.65,138.84,138.95,135528
15-Mar-17,139.17,140.76,139.02,140.52,216605
16-Mar-17,140.75,141.02,140.16,140.61,171021
17-Mar-17,140.55,141.1,139.89,140,383153
20-Mar-17,140.14,141.56,140,141.55,190718
21-Mar-17,141.59,142.8,139.35,139.35,352675
22-Mar-17,139.25,141.6,138.67,141.5,238385
23-Mar-17,141.28,141.59,140.61,141,186233
24-Mar-17,141.07,141.74,140.05,140.43,203203
27-Mar-17,139.95,141.22,138.62,141.1,213971
28-Mar-17,141.14,144.04,140.62,143.7,309766
29-Mar-17,143.7,144.49,143.19,144.25,250697
30-Mar-17,144.45,144.5,143.5,143.77,190331
31-Mar-17,143.52,144.27,143.01,143.61,178868
3-Apr-17,143.6,144.12,143.05,143.63,180514
4-Apr-17,143.35,144.89,143.17,144.87,177578
5-Apr-17,144.7,145.46,143.25,143.52,249438
6-Apr-17,143.63,144.52,143.45,143.7,190894
7-Apr-17,143.51,144.18,143.22,143.43,150374
10-Apr-17,143.7,143.95,142.9,143.15,165411
11-Apr-17,142.9,143.35,140.06,141.49,275278
12-Apr-17,141.93,142.25,141.01,141.94,188141
13-Apr-17,141.85,142.38,141,141.06,160677
17-Apr-17,141.11,141.93,140.87,141.8,145408
18-Apr-17,141.63,142.04,141.11,141.33,134188
19-Apr-17,141.4,142,140.45,140.92,148372
20-Apr-17,141,142.92,141,142.42,215338
21-Apr-17,142.31,142.7,141.85,142.24,156146
24-Apr-17,144.01,144.2,142.27,143.78,156453
25-Apr-17,143.94,144.9,143.7,144.48,167682
26-Apr-17,144.72,144.9,143.37,143.87,177379
27-Apr-17,143.75,144.16,143.31,143.9,128940
28-Apr-17,143.96,144.3,143.27,143.9,174497
1-May-17,144.01,147.2,143.65,146.8,288158
2-May-17,146.58,149,143.81,144.8,381952
3-May-17,144.99,147.49,144.27,146.75,418788
4-May-17,146.88,147.45,145.81,146.6,208843
5-May-17,146.53,149.05,146.53,149.05,244884
8-May-17,149.18,153.7,148.8,153.2,441395
9-May-17,153.25,154.88,152.67,153.3,347840
10-May-17,153.58,153.99,152.11,153.4,229808
11-May-17,153.29,154.07,152.31,153.88,210822
12-May-17,154.26,156.42,154.1,156.07,298985
15-May-17,156.7,157,155.05,155.66,232630
16-May-17,155.9,156.26,154.56,154.66,173041
17-May-17,154.75,155.47,149.71,150.93,453070
18-May-17,150.5,153.34,149.61,152.65,309366
19-May-17,152.65,153.98,152.63,152.86,248482
22-May-17,153.35,154.58,152.91,153.69,204948
23-May-17,154.03,154.99,153.31,153.69,178718
24-May-17,154.05,154.2,152.67,153.25,175362
25-May-17,153.43,154.35,153.03,153.8,169792
26-May-17,154,154.24,153.03,153.32,156088
30-May-17,153.6,154.43,153.15,153.6,171277
31-May-17,153.75,154.2,152.38,152.85,213931
1-Jun-17,153,153.7,152.22,153.18,142536
2-Jun-17,153.64,155.45,152.89,155.35,253365
5-Jun-17,154.4,155.45,153.46,154,224448
6-Jun-17,154,155.81,153.28,154.54,239347
7-Jun-17,154.67,155.98,154.48,155.35,192142
8-Jun-17,155.67,155.88,154.4,154.7,187507
9-Jun-17,155,155.35,146.02,148.96,590866
12-Jun-17,147.89,147.93,142.51,145.6,650312
13-Jun-17,146.85,147.45,145.15,146.9,289299
14-Jun-17,146.98,147.5,143.84,144.6,281512
15-Jun-17,143.9,144.49,142.21,144.49,289487
16-Jun-17,144.7,144.76,142.17,142.45,431869
19-Jun-17,143.1,146.74,143.1,146.71,288931
