,Open,High,Low,Close,Volume,ADS_Index,SP500,Mkt-RF,SMB,HML,AMZN,FB,GOOGL,NFLX,NVDA,TSLA
91,89.87,91.67,89.0,90.38,408026,-0.48819942299999997,2046.61,-0.82,0.38,-0.66,712.565,119.775,726.9725,87.3025,14.5525,411.65375
92,90.69,94.39,90.56,93.95,558048,-0.46063628700000003,2066.66,0.99,0.28,-0.24,709.195,119.0075,727.395,88.3175,14.6925,410.97875
93,94.0,95.0,93.01,93.51,427379,-0.45008681799999994,2047.21,-0.95,-0.78,0.61,703.87,118.1125,726.2425,89.24,14.735,409.36625
94,93.69,95.21,93.51,94.77,389821,-0.439043399,2047.63,0.1,0.11,0.83,695.9125,117.5125,720.2225,89.735,14.855,405.845625
95,94.55,94.8,93.57,94.31,255367,-0.427504596,2040.04,-0.33,-0.32,-0.29,695.5225,116.8325,716.4025,89.7875,14.835,404.63625
96,94.7,95.43,94.35,95.13,292662,-0.415468906,2052.32,0.75,0.9,-0.3,702.2075,117.3725,720.6725,91.27,14.68,407.880625
97,95.7,97.19,95.42,96.55,344279,-0.375833734,2048.04,-0.18,0.26,-0.32,700.55,116.685,720.13,93.8075,14.405,407.793125
98,97.0,98.2,96.84,98.2,320719,-0.360929344,2076.06,1.43,0.68,-0.34,702.37,117.0525,727.025,96.9,14.5575,410.836875
99,98.45,99.74,98.11,99.55,350211,-0.34518543700000004,2090.54,0.72,-0.21,0.57,707.365,118.0,736.62,99.34,14.5675,415.33125
100,99.85,100.73,98.64,100.54,368959,-0.328599965,2090.1,-0.04,-0.09,-0.51,711.6975,118.815,737.835,102.415,14.3975,417.690625
101,100.46,100.47,99.24,100.24,319515,-0.311170772,2099.06,0.49,0.33,-0.22,713.9475,119.46,743.0125,102.78,14.55,419.8
